problem,answer,subject,task_group_id,category
"For the sake of convenience in calculation and estimation, consider a ""cylindrical"" celestial body (although this assumption is not realistic, it allows for a simple order-of-magnitude estimate). The radius of this celestial body is `\(R\)`, and its height is also `\(R\)`, with its rotational axis perpendicular to the plane of its orbit around the Sun. This body rotates around its axis with an angular speed `\( \omega \)`. The period of revolution around the star is much larger than the period of rotation and its effects can be ignored.\
Assume this celestial body is composed of uniform material with density `\(\rho\)`, specific heat capacity `\(C\)`, and thermal conductivity `\(K\)`. For a specific point on its lateral surface, the perpendicular component of incident radiation (from the Sun and other background radiation) at time `\(t\)` can be approximated as `\(\varepsilon (t)=\varepsilon _0+\varepsilon _1\cos \omega t\)`.  `\( \varepsilon \)`  and `\(\varepsilon _1\)` are known. Also `\( \varepsilon_1 > 0  \) .` \
We can imagine this celestial body as having only a thin surface layer where temperatures oscillate with time, while temperatures remain nearly constant at depths beyond a certain distance from the surface.

The average temperature of this celestial body is `\(T_0\)`, its emissivity is `\(\epsilon\)`, and its albedo is `\(A\).` The temperature on the lateral surface at a given location oscillates with time (due to the differential heating) with an amplitude of `\( T_1 \)` ( `\( T_1 >0 \)`) and lags behind the incident flux by a temporal phase difference of `\( \varphi \)`

Consider the body to be a Lambertian source.

Considering the radiation flux emitted by the lateral surface of a cylinder, calculate the magnitude of the force `\(\vec{F}^\mathrm{}_Y\)` acting on the body due to thermal radiation. (The force due to the radiation from the top and bottom surfaces cancel anyway) acting on this object due to the emitted radiation. You may use the approximation that `\( T_1 \ll T_0 \)`.

Answer in terms of `\(\epsilon\)` , the Stefan-Boltzmann constant `\( \sigma \)` , `\( T_0, T_1 , R \)` and speed of light `\( c \)` .

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.","

 `\(\vec{F}^\mathrm{}_Y = \frac{8\pi\epsilon\sigma T_{0}^{3} T_{1}(0)}{3c}R^{2}\)`，
",physics,dbe975d5-c431-4d73-8f7c-f8bba77ea458,olympiad
"Consider a vehicle with a proper length of `\( L \)` in the `\(x\)`-direction.
The rear end of the vehicle moves with a uniform proper acceleration `\( \vec{a} = a \hat{x} \)`, with `\( a > 0 \)`, i.e., in the inertial instantaneous rest frame of the vehicle's rear end, the vehicle's rear end has an acceleration of `\( \vec{a} \)`. 
At a certain moment, the velocity of the rear end of this vehicle relative to the laboratory frame, a fixed inertial frame, is `\( \vec{v} = v \hat{x}\)`, with `\( v > 0\)`.
Find the length `\( L_{\text{lab}} \)` of the vehicle body measured in the laboratory frame at this moment.
You need to consider special relativistic effects, with the speed of light being `\( c \)`.
Please observe that, so as for the vehicle to not disintegrate during the acceleration process, we enforce that, for any constituent atom of the vehicle, when viewed within the instantaneous rest frame of that atom, the relative distance between that atom and any other atom of the vehicle does not change over time.
Give your answer in terms of `\(L, a, v\)` and `\(c\)`.

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.",`\( L_{\text{lab}} = \frac{c^2}{a} \Big[ \sqrt{ (1+\frac{a L}{c^2})^2 + \frac{v^2}{c^2 - v^2} } - \frac{c}{\sqrt{ c^2- v^2}} \Big] \)`,physics,f4681d73-b08d-450c-89d3-85b9d1250419,olympiad
"Consider an object consisting of a particle with mass `\(M\)` connected to two particles, each with mass `\(m\)`, via two variable-length, massless arms, each of length `\(s\)`. This object is restricted to move on the surface of a sphere with a radius `\(R\)`, where `\(s \ll R\)`. A local Cartesian coordinate system `\(XY\)` is established on the sphere. At time `\(t \leq 0\)`, the object is at position `\((X, Y) = (0, 0)\)` with both arms in a retracted state (`\(s=0\)`) and is at rest. When `\(t > 0\)`, the object begins to move, with both arms extending to the same length and symmetrically opposite in direction to the X-axis. Let the angle between the two arms be `\(2\theta\)`, then the relative position of one of the particles with mass `\(m\)` to the particle of mass `\(M\)` is `\((x,y)=s\times(\cos\theta ,\sin\theta )\), and the other \(s\times(\cos\theta, -\sin\theta)\)`. As the object moves, `\((x, y)\)` undergoes periodic changes as described:

`\((x,y)\colon(0,0)\to\left(0,L_{y}\right)\to\left(L_{x},L_{y}\right)\to\left(L_{x},0\right)\to(0,0)\)`

If \\((x,y)\\) to the next of the 4 states with frequency \\(f\\), find the (signed) average velocity `\(\langle V \rangle\)` of the object's motion, where positive \\(V\\) is in the direction of the positive \\(X\\) axis. Assuming `\(m \ll M\)` and `\(L_x, L_y \ll R\)`, in the calculations, you only need to take the non-zero lowest order terms of `\(m/M\)`, `\(L_x/R\)`, and `\(L_y/R\)`.

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.",`\( \langle V \rangle = \frac{mf L_x L_y^2}{2MR^2} \)`,physics,afb2ebc7-421e-4e61-8073-7c4393aa9855,olympiad
"A thin-walled insulated container of mass `\(M\)` (ignoring the thickness of the container) floats in space (considered as a vacuum), initially at rest, is filled with `\(N_0\)` molecules of nitrogen gas (`\( N_2 \)`), at an equilibrium temperature of `\(T_0\)`, and the mass per molecule of nitrogen of `\(m\)`. In this case, we assume that `\(M\gg N_0m\)`. A small hole appears in the container, which is so small that it is much smaller than the mean free path of the gas (that is, `\( \sqrt{A} << \lambda \)` where `\( A \)` is the area of the hole and `\( \lambda \)` is the mean free path length). The rate of escape of the gas is so slow that we can treat the gas in the container as an equilibrium state of uniform temperature at every instant. The Boltzmann constant is `\(k_B\)` and all temperatures are absolute.

What is the equilibrium temperature `\(T\)` when there are `\(N\)` nitrogen molecules left in the container?

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.",`\( T = T_0(\frac{N}{N_0})^{\frac{1}{5}} \) `,physics,4195adea-9fa5-4f25-91ef-ebd6c57cfb88,olympiad
"A certain region of space has an electric potential \\(V\\) which is cylindrically symmetrical about the \\(z \\)-axis and can be written as \\(V (\\rho, z) \\) , with \\(\\rho \\) the distance from the \\( z \\)-axis. The setup also includes a uniform magnetic field `\(\vec B = B \hat{z} \)` pointing along the `\( z \)-`direction. Gravity can be ignored.\
\
A particle with positive charge \\(q &gt; 0\\) and mass \\( m\\) is released in this potential. We want the potential to be such that there exists a maximum distance from the origin that the particle will ever reach. The potential and magnetic field must satisfy Maxwell's equations in free space.

The potential does not include the potential from the particle itself. We ignore radiation by the particle.

We assume the potential is at most quadratic, of the form\
\\(V(\\rho, z) = a + b \\rho + c z + d \\rho^2 + e z^2\\)\
for some constants \\(a, b, c, d\), and \\(e\).\
\
We also want a charged particle released from rest at the origin to remain at the origin. We drop the constant term in the potential, so \\(a = 0\\).\
\
There are three possible motions of the particle that are motions with a single angular frequency. Find an equation for \\( \\omega\_{\\rm sum}\\) the sum of these three angular frequencies. Give your answer in terms of \\(B, e, q, \\) and \\( m\\).

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.",\\(\\omega\_{\\rm sum} = \\frac{qB}{m} + \\sqrt{ \\frac{2qe}{m} } \\),physics,e2bef5ee-c2ee-4704-b52a-63bb2e7aea7a,olympiad
"In a fluid flow, a vortex forms around a central axis, which is a straight line. The fluid in the vortex flows purely in circles around the central axis of the vortex. The flow has cylindrical symmetry and symmetry of translation along the direction of the axis of the vortex. Gravity can be ignored.

Let `\(r\) `be the distance of any point in the vortex from the central axis of the vortex. The speed `\(v \)` of fluid flow depends only on `\(r \)` and time `\(t \)`. We can write it as

`\(v = \frac{\Gamma}{2\pi} g(r,t) \)`

where `\(g \)` is some unknown function of `\(r \)` and `\(t \)` and \\(\\Gamma\\) is a constant particular to the vortex.

The fluid is incompressible and has density `\(\rho \)`. The fluid is subject to internal stresses from viscosity. Assume the fluid is Newtonian and that the viscosity is `\(\eta \)`.

Find `\(\frac{\partial g}{\partial t} \)` in terms of `\(r, t, \Gamma, \rho, \eta \)` and `\(g, \frac{\partial g}{\partial r}, \frac{\partial^2 g}{\partial r^2} \)`.

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.",`\(\frac{\partial g}{\partial t}=\frac{\eta}{\rho}\left(\frac{\partial^{2}g}{\partial r^{2}}-\frac{1}{r}\frac{\partial g}{\partial r}\right)\) `,physics,e1b0b588-915d-46ad-990e-ba5aa554053e,olympiad
"We simulate a single polymer with the following model: As shown in the figure, a polymer can be viewed as being composed of `\( n \)` rigid rods, each of length  `\( b \)`, connected end-to-end. Adjacent rods are connected by a pivot that allows for free rotation, so the total length of the polymer `\( L=nb \)`. However, the distance between the two ends of the polymer, denoted as

`\( r≠L \)`.

We will proceed with the following discussion under isothermal conditions.








We fix one end of the polymer (fixed end), and the other end (free end) is allowed to move freely. We define a spatial Cartesian coordinate system `\( xyz \)`, with the fixed end at the origin. Let the vector from the fixed end to the free end be `\( \vec{r} = (r_x, r_y, r_z) \)`. 


Probability of the polymer's two ends being at a distance from `\( r \)` to `\( r + dr \)` is
`\( P(r)dr \)`



`\( P(r)dr=4\pi r^2\biggl(\frac{3}{2nb^2\pi}\biggr)^{\frac{3}{2}}e^{-\frac{3r^2}{2nb^2}}dr \)`




The formula for `\(  P(r)  \)` is similar to the Boltzmann distribution  `\( e^{-\frac{3r^{2}}{2nb^{2}}}\approx e^{-\frac{U}{kT}} \)`, where `\( U \)` is the total internal energy of the polymer  and `\( k \)` is the Boltzmann constant.

Assuming that a fixed outward pulling force `\( f \)` is applied at both ends of the polymer, try to find the quantity 

 `\( S/r \)`.

where `\( S \)` is the total entropy of the polymer.


 Answer must be expressed in terms of  `\( f \)` and `\( T \)` and numerical constants.


 Let `\( S = 0 \)` when `\( r = 0 \)` for the polymer.

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.","

`\(  - \frac{f}{2T} \)`",physics,16318af5-cfa6-4b2c-bf25-9eb3ac468b48,olympiad
"Consider a particle of mass `\( m \)`, that is constrained to move on a spherical shell with radius `\( R \)`. The spherical shell is rotating with angular velocity `\( \omega \)`.  Initially this particle is at the equator and is initially projected northward perpendicular to the equator (in the rotating reference frame of the sphere) at a surface relative velocity of `\( v \)`. Ignore any resistive forces. Denote the greatest latitude of the particle as `\( \theta_{max} \)`. Assume `\( \theta_{max} \ll 1 \)` so that the small angle approximations `\( \sin(\theta) = \theta \)` and `\( \cos(\theta) = 1 \)` can be used. Denote the latitude of the particle at time `\( t \)` as `\( \theta(t) \)`. Find the time period `\( T \)` of `\( \theta(t) \)`.

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.",`\( T = \frac{2\pi}{\omega} \) `,physics,bc8a05ac-9db5-47b4-8618-84aa4a46466a,olympiad
"In this question, we will explore the Brownian motion of particles in the horizontal direction. Let `\(m\)` be the mass of the particle, `\(x(t)\)` be the coordinate of the particle at time `\(t\)`, and `\(f(t)\)` be the net force exerted on the particle by the medium molecules (i.e., water molecules). We divide `\(f(t)\)` into two parts: one is the viscous drag force `\(-αv\)`, and the other is the random force `\(F(t)\)`. Based on this, we can write the equation of motion for the particle:

`\(m\frac{dv}{dt}=- \alpha v + F(t)\)`

Since `\(F(t)\)` is random, its average value `\(〈F(t)〉=0\)` . We will use 〈.〉 to denote the ensemble average, which means if we replicate this system many times and let each of them evolve over time (the evolution process can be regarded as a probability distribution), then we average the values obtained by measuring these systems in the same way.

Let us denote the average time interval between two consecutive collisions of water molecules as `\(\tau^{*} \ll \frac{m}{\alpha}\)`. Then `\(K(s)=\langle F(t+s)F(t)\rangle\)` can be considered as 0 when `\( s \gg \tau^{*}\)`, because during this time interval, the particle has been hit multiple times by different water molecules, and `\(F(t+s)\)` and `\(F(t)\)` can be considered independent. However, if \\(s\\) is in the order of `\(\tau^{*}\)`, then `\(K(s)>0\)`. When answering the following question, account for appropriate approximations using the properties above. To facilitate the estimation of the interaction strength between the particle and water molecules, we define the following integral:

`\(J=\int\limits_{0}^{\infty}K(s)ds\)`

Derive an expression for `\(\alpha\) as the particle reaches thermal equilibrium with the water molecules at temperature \(T\)`. Express the answer in terms of `\(J, k_B, T, m\)`, where `\(k_B\)` is the Boltzmann constant.

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.",`\( `\\alpha = \\frac{J}{k_BT}` \)`,physics,20fcf049-b356-45cf-83d8-833f280ee107,olympiad
"A dielectric sphere of radius \\( a \\) and absolute permittivity \\( \\varepsilon \\) is moving in a magnetic field `\(\vec{B}=-B_{0}\hat{y}\)` with constant velocity `\(\vec{v}=v\hat{z}\)`. Assume that `\(v\)` is much smaller than the speed of light. At the instant when the center of the sphere passes through the origin of the coordinates, find the electric field \\( \\vec{E} \\) outside the sphere in terms of \\( v \\), \\( B_0 \\), \\( a \\) and the distance to the center of the sphere \\( r \\). Leave your answer in vector form, not as a function of angles.

Think step by step and solve the problem below. At the end of your response, write your final answer on a new line starting with “FINAL ANSWER”. It should be an answer to the question such as providing a number, mathematical expression, formula, or entity name, without any extra commentary or providing multiple answer attempts.",\\( \\vec{E}=\\frac{\\varepsilon-\\varepsilon_0}{\\varepsilon+2 \\varepsilon_0} v B_0 a^3 \\frac{3(\\hat{r} \\cdot \\hat{x}) \\hat{x}-\\hat{x}}{r^3} \\),physics,710c1336-0995-4d45-bfea-48ff475f255f,olympiad
